阿呆に付ける薬なし, 阿呆, aho-, ahou, に付ける薬なし, 愚かな者を教え導く方法はない。ばかに付ける薬はない。
袖振り合うも多生の縁, 袖, sode, sode, 振り合うも多生の縁, 道で見知らぬ人と袖が触れ合うのも深い宿縁に基づくものだ。
他人の疝気を頭痛に病む, 他人, tanin', tanin', の疝気を頭痛に病む, 直接自分に関係ないことによけいな気遣いをすることのたとえ。
怠け者の足から鳥が起つ, 怠け者, namakemono, namakemono, の足から鳥が起つ, 平素怠けている者は，事が起こるとあわてて騒ぎたてるものである。
貸し借りは他人, 貸し借り, kasikari, kasikari, は他人, 金銭の貸し借りは，親しい者どうしの間にも他人同様の冷たい関係を生むことになる。
大海を手で塞く, 大海, taikai, taikai, を手で塞く, 不可能なことをしようとするたとえ。
大蛇を見るとも女を見るな, 大蛇, oroti, oroti, を見るとも女を見るな, 女は人を惑わして修行の妨げとなるので大蛇よりも恐ろしいものだ，という戒め。
大手を広げる, 大手, o-te, oote, を広げる, 相手の前で大きく両手を広げ，進ませないようにする。
大手を振る, 大手, o-te, oote, を振る, 意味・解説 ① 歩くときに両手を大きく振る。 ② 他人に遠慮せずに堂々と行動するさまをいう。
大食腹に満つれば学問腹に入らず, 大食, taisyoku, taisyoku, 腹に満つれば学問腹に入らず, 満腹すると頭の働きが鈍くなり，知識が頭に入らないということ。
大男総身に知恵が回りかね, 大男, o-otoko, oootoko, 総身に知恵が回りかね, 体ばかり大きくて，愚鈍な男をあざけっていう語。
鷹は死すとも穂はつまず, 鷹, taka, taka, は死すとも穂はつまず, 高潔な人は，どんなに困窮しても道理に合わない金品を得ようとはしない。鷹は飢えても穂をつまず。
暖簾に腕押し, 暖簾, noren', noren', に腕押し, 手ごたえのないこと，張り合いのないことのたとえ。
男は閾を跨げば七人の敵あり, 男, otoko, otoko, は閾を跨げば七人の敵あり, 男が家庭の外で活動するときには常に多くの敵があるの意。
男子の一言金鉄の如し, 男子, dan'si, dan'si, の一言金鉄の如し, 男子が一度口にした言葉は，いかなることがあっても絶対に破らない。
男子家を出れば七人の敵あり, 男子, dan'si, dan'si, 家を出れば七人の敵あり, 男が社会に出て活動すれば，多くの敵があるものだ。
知らぬ仏より馴染みの鬼, 知ら, sira, sira, ぬ仏より馴染みの鬼, 仏のようなよい人でも，よく知らない人ならば，鬼のような人でもよく知っている人に及ばない。
地獄の沙汰も金次第, 地獄, zigoku, zigoku, の沙汰も金次第, 閻魔の裁きも金の力で自由になるというほどだから，金さえあればこの世では何でもできる意。
地獄の上の一足飛び, 地獄, zigoku, zigoku, の上の一足飛び, 非常に危険な行為のたとえ。
茶茶が入る, 茶茶, tyatya, tyatya, が入る, じゃまが入る。
仲人は宵の口, 仲人, nako-do, nakoudo, は宵の口, 仲人のつとめは式の宵に終わるものだから，若夫婦のじゃまにならぬように早く引き上げるのがよいということ。
鋳掛け屋の天秤棒, 鋳掛け, ikake, ikake, 屋の天秤棒, 出しゃばり者。
朝に道を聞かば夕べに死すとも可なり, 朝, asa, asa, に道を聞かば夕べに死すとも可なり, 人としての道を悟ることができれば，すぐに死んでも悔いはない。
朝雨は女の腕まくり, 朝, asa, asa, 雨は女の腕まくり, 朝雨はすぐにあがるものだから，女の腕まくりと同様，大して気にかけることはない。
朝雨馬に鞍置け, 朝, asa, asa, 雨馬に鞍置け, 朝雨はすぐにあがるものだから，馬に鞍を置いて外出の用意をしておけ，の意。
長い物には巻かれろ, 長い, nagai, nagai, 物には巻かれろ, 読み方：ながいものにはまかれろ別表記：長い物には巻かれろ強い権力を持つ者や、強大な勢力を持つ者には、敵対せず傘下に入って従っておいたほうがよい、といった処世術を表す言い回し。">
痛くもない腹を探られる, 痛く, itaku, itaku, もない腹を探られる, 自分はやましいことをしてもいないのに，他人から疑いをかけられる。
釣り合わぬは不縁の基, 釣り合わ, turiawa, turiawa, ぬは不縁の基, 身分・財産などの違いすぎるのは，その結婚がうまくゆかない原因となるということ。
釣り落とした魚は大きい, 釣り, turi, turi, 落とした魚は大きい, ⇒ 逃にがした魚は大きい
鶴は千年亀は万年, 鶴, turu, turu, は千年亀は万年, 世界宗教用語。  寿命が長く，めでたいことにいう。
貞女二夫に見えず, 貞女, teizyo, teizyo, 二夫に見えず, 貞女は夫が死んだあとも，再婚することはない。貞女は二夫を並べず。
貞女両夫に見えず, 貞女, teizyo, teizyo, 両夫に見えず, 貞女は夫が死んだあとも，再婚することはない。貞女は二夫を並べず。
鉄は熱いうちに打て, 鉄, tetu, tetu, は熱いうちに打て, ① 人も精神が柔軟性に富む若い時代に有益な教育を施さなければならないということのたとえ。 ② 手遅れにならないうちに処置を講ぜよという...">
天に口無し人を以て言わしむ, 天, ten', ten', に口無し人を以て言わしむ, 天は自ら語ることをせず，天意は人の口を通じて告げ知らされる。
怒り心頭に発する, 怒り, ikari, ikari, 心頭に発する, 心底から激しく怒る。
刀下の鳥林薮に交わる, 刀, katana, katana, 下の鳥林薮に交わる, 危ない命を助かって，生き返った思いがすることのたとえ。
東男に京女, 東男, azumaotoko, azumaotoko, に京女, 男はたくましい東国の男がよく，女はやさしい京都の女がよい。
頭隠して尻を出す, 頭, atama, atama, 隠して尻を出す, に同じ。
頭隠して尻隠さず, 頭, atama, atama, 隠して尻隠さず, 悪事や欠点の一部を隠して，全部を隠したつもりでいる愚かさをあざけっていう。
頭剃るより心を剃れ, 頭, atama, atama, 剃るより心を剃れ, 頭を剃って僧の姿になるよりも，精神の修養をすることの方が大切だ。
闘雀人を恐れず, 闘雀人, *, *, を恐れず, 雀のように臆病な鳥でも，争いに夢中になっているときは，身の危険をもかえりみなくなる。
得手に帆を揚げる, 得手, ete, ete, に帆を揚げる, 自分の得意なことを発揮するよい機会を得て勇んでする。
鳶も居ずまいから鷹に見える, 鳶, tobi, tobi, も居ずまいから鷹に見える, 起居・動作が正しければ，卑しい者も上品に見えるたとえ。
難波の葦は伊勢の浜荻, 難波, nan'ba, nan'ba, の葦は伊勢の浜荻, 物の名や風俗・習慣などが，地方によって変わるたとえ。
二階から目薬, 二階, nikai, nikai, 階から目薬, 意のままにならずもどかしいこと。また，回り遠くて効果のおぼつかないこと。
二人口は過ごせるが一人口は過ごせぬ, 二, ni, ni, 人口は過ごせるが一人口は過ごせぬ, 結婚した方が，独身でいるよりも経済的である。一人口は食えぬが二人口は食える。
二足の草鞋を穿く, 二, ni, ni, 足の草鞋を穿く, 同じ人が両立しないような二種の業を兼ねること。特に江戸時代，博打打ちが十手をあずかって捕吏となる類をいう。
濡れ手で粟, 濡れ手で粟, nuretedeawa, nuretedeawa, , 苦労せずに多くの利益をあげることのたとえ。濡れ手で粟のつかみ取り。
能ある鷹は爪を隠す, 能, no-, nou, ある鷹は爪を隠す, 実力のある人物は，いたずらにそれを誇示することはしないというたとえ。
馬鹿と鋏は使いよう, 馬鹿, baka, baka, と鋏は使いよう, 切れない鋏でも，使い方によっては切れるように，愚かな者でも，仕事の与え方によっては役に立つ。
馬鹿に付ける薬はない, 馬鹿, baka, baka, に付ける薬はない, ばかを治す方法はない。
馬方船頭御乳の人, 馬方, umakata, umakata, 船頭御乳の人, 弱みにつけこんで法外なねだりものをする卑劣な者のたとえ。船頭馬方御乳の人。
背に腹はかえられぬ, 背, se, se, に腹はかえられぬ, さし迫った苦痛を逃れるためには，他を犠牲にすることもやむを得ない。
背戸の馬も相口, 背戸, sedo, sedo, の馬も相口, 裏口につないでおくしかない暴れ馬でも，扱い方によってはおとなしくなること。手のつけられない者にも，頭の上がらない人や気の合う友人はいることのたとえ。人喰馬にも相口。 &amp;raquo;&amp;...">
髪の長きは七難隠す, 髪, kami, kami, の長きは七難隠す, 女の髪の長いことは，他の欠点を隠してしまう。色の白いは七難隠す。
鳩を憎み豆を作らぬ, 鳩, hato, hato, を憎み豆を作らぬ, 鳩が来てついばむのを嫌って、大切な豆を作ることをやめてしまう意。つまらない事にこだわるあまり、肝要な事を見失うたとえ。
板子一枚下は地獄, 板子, itago, itago, 一枚下は地獄, 船乗りの仕事は危険が多いことをいう。
非学者論議に負けず, 非, hi, hi, 学者論議に負けず, 学問のない者は，へ理屈を押し通し，議論に屈しない。
非細工の小刀減らし, 非, hi, hi, 細工の小刀減らし, 労力の割に効果のあがらないこと。
飛ぶ鳥跡を濁さず, 飛ぶ, tobu, tobu, 鳥跡を濁さず, に同じ。
百足の虫は死して倒れず, 百足, mukade, mukade, の虫は死して倒れず, 助けの多いものは簡単に滅亡しない。百足の虫は死に至りて倒れず。
百里の道も一足から, 百, hyaku, hyaku, 里の道も一足から, 遠い所へ行くにもまず一歩からはじまる。大きな物事をするにも初めの第一歩が大事であるということ。千里の行も一歩から。
病は口より入り禍は口より出ず, 病, yamai, yamai, は口より入り禍は口より出ず, 病気は飲食物への不注意から，わざわいは不用意な言葉から生じる。
病み足に腫足, 病み, yami, yami, 足に腫足, 不幸にさらに不幸が重なることのたとえ。
貧すれば鈍する, 貧, hin', hin', すれば鈍する, 貧乏すると，世俗的な苦労が多いので，才知がにぶったり，品性が下落したりする。
貧の花好き, 貧, hin', hin', の花好き, 貧乏なのに花作りに熱中すること。境遇に不似合いなこと。
貧の盗みに恋の歌, 貧, hin', hin', の盗みに恋の歌, 人間は必要に迫られれば何でもするものだというたとえ。
貧は世界の福の神, 貧, hin', hin', は世界の福の神, 貧乏が人を奮起させ，他日の幸福をもたらすことからすれば，貧乏は福の神であるともいえるということわざ。
貧乏暇なし, 貧乏, bin'bo-, bin'bou, 暇なし, 貧乏人は生活費をかせぐのに追われて，時間の余裕がない。
貧乏人の系図話, 貧乏人, bin'bo-nin', bin'bounin', の系図話, いたずらに昔の栄華をしのぶことの愚かさをいう言葉。
負うた子に教えられて浅瀬を渡る, 負, hu, hu, うた子に教えられて浅瀬を渡る, 時には自分より未熟な者から教えられることもあるというたとえ。三つ子に習って浅瀬を渡る。負うた子に教えられる。
負け博打のしこり打ち, 負け, make, make, 博打のしこり打ち, ばくちに負けると，ますます熱中してばくちを打つものだ。
風が吹けば桶屋が儲かる, 風, kaze, kaze, が吹けば桶屋が儲かる, 何か事が起こると，めぐりめぐって意外なところに影響が及ぶことのたとえ。
風口の蝋燭, 風口, kazakuti, kazakuti, の蝋燭, 消えやすいこと。はかないことのたとえ。
腹が減っては軍は出来ぬ, 腹, hara, hara, が減っては軍は出来ぬ, 空腹のままでは十分に活動ができない。
腹の皮が突っ張れば目の皮が弛む, 腹, hara, hara, の皮が突っ張れば目の皮が弛む, 満腹になると眠くなる。
文はやりたし書く手は持たず, 文, bun', bun', はやりたし書く手は持たず, 字が書けないので，恋文を書き送れないし，だからといって恥ずかしくて代筆もたのめない。無筆な遊女が嘆いているさま。
聞くは一時の恥聞かぬは一生の恥, 聞く, kiku, kiku, は一時の恥聞かぬは一生の恥, 読み方：きくはいっときのはじきかぬはいっしょうのはじ別表記：聞くは一時の恥聞かぬは一生の損、聞くは一時の恥、聞くは一時の恥聞かぬは末代の恥、聞くは一時の恥、聞かぬは一生の恥、聞くは一時の恥、聞かぬは一...">
聞けば聞き腹, 聞け, kike, kike, ば聞き腹, 聞かなければ知らないから平気だが，聞けば腹立たしくなるということ。聞けば聞き損。
壁に馬を乗りかける, 壁, kabe, kabe, に馬を乗りかける, ① 出し抜けに，または無理押しに事を行うことのたとえ。  ② 突然予期しないことに出会って困惑することのたとえ。 「壁に馬乗かけ，誰をかうとのちゑもなし／浄瑠璃・...">
癖ある馬に能あり, 癖, kuse, kuse, ある馬に能あり, 一癖ある者は必ず何か特別の能力をもっている。すぐれた人には，どこか凡人と異なるところがある。
宝の山に入りながら手を空しくして帰る, 宝, takara, takara, の山に入りながら手を空しくして帰る, よい機会に出会いながら，その機会を生かせず，全く利益を得ない。宝の山に入りて空しく帰る。
坊主憎けりゃ袈裟まで憎い, 坊主, bo-zu, bouzu, 憎けりゃ袈裟まで憎い, その人を憎むあまりに，その人に関係のある事物すべてを憎むことのたとえ。
本を正す, 本, hon', hon', を正す, 物事の原因や起こりを調べてはっきりさせる。
本木にまさる末木なし, 本木, motoki, motoki, にまさる末木なし, いろいろ取り替えてみても，結局は初めに関係のあったものよりすぐれたものはない。
万死に一生を得る, 万死, ban'si, ban'si, に一生を得る, とても助かる見込みがなかったところを，かろうじて助かる。万死の中に一生を得る。九死に一生を得る。
無き手を出す, 無き, naki, naki, 手を出す, 最高の技術を尽くす。また，あらゆる手段を尽くす。
鳴く蝉よりも鳴かぬ蛍が身を焦がす, 鳴く, naku, naku, 蝉よりも鳴かぬ蛍が身を焦がす, むやみに口に出して言う者よりも，言わない者のほうが，かえって心の思いは切実である。
鳴く猫は鼠を捕らぬ, 鳴く, naku, naku, 猫は鼠を捕らぬ, よくしゃべる者はかえって実行をしないことのたとえ。
面に似せてへそを巻く, 面, men', men', に似せてへそを巻く, 人はそれぞれその性質によってすることも違う。
盲千人目明き千人, 盲, mesii, mesii, 千人目明き千人, 世の中には，物のわかる人もあれば，わからない人もある。目明き千人盲千人。
目は口ほどに物を言う, 目, me, me, は口ほどに物を言う, 言葉に出さなくても、目の表情で相手に伝えることができる。また、言葉でうまくごまかしても、目に本心が表れるものである。
目は心の鏡, 目, me, me, は心の鏡, 目はその人の心のありさまをそのままに映し出す鏡のようなものだということ。
目病み女に風邪引き男, 目, me, me, 病み女に風邪引き男, 眼病で目のうるんだ女と，風邪を引いた男は魅力があるということ。
目糞鼻糞を笑う, 目糞, mekuso, mekuso, 鼻糞を笑う, 自分の欠点には気がつかないで，他人の欠点をあざわらう。
餅屋は餅屋, 餅屋, motiya, motiya, は餅屋, ⇒ 餅は餅屋
貰う物は夏も小袖, 貰う, morau, morau, 物は夏も小袖, もらう物なら，季節はずれの品でも不用の品でもかまわない。戴くものは夏も小袖。
門松は冥途の旅の一里塚, 門松, kadomatu, kadomatu, は冥途の旅の一里塚, 門松を立てるごとに年齢を重ねるから，門松は死に一歩ずつ近づくしるしとみるべきである。
門前の小僧習わぬ経を読む, 門前, mon'zen', mon'zen', の小僧習わぬ経を読む, 平生見聞きして慣れていれば，知らず知らずその物事に習熟することのたとえ。環境の与える影響力の大きさをいうたとえ。
夜の鶴, 夜, yoru, yoru, の鶴, 夜半に鳴く鶴。子を思う親の愛をたとえていう語。
夜目遠目笠の内, 夜目, yome, yome, 遠目笠の内, 女の容貌は，夜見たとき，遠方から見たとき，笠をかぶっているところを見たときに，実際より美しく見えるということ。
野人暦日なし, 野人, yazin', yazin', 暦日なし, 田舎に住んで自然を楽しむ人は月日の経過も知らずに過ごしてしまう。
野暮と化け物は箱根から先, 野暮, yabo, yabo, と化け物は箱根から先, 野暮と化け物は箱根から先の西の方にいる意。江戸っ子の通を自慢していう語。
夕立は馬の背を分ける, 夕立, yu-dati, yuudati, は馬の背を分ける, 夕立の降る範囲のきわめて狭いことのたとえ。
揚げ足を取る, 揚げ足, ageasi, ageasi, を取る, 人の言葉じりやちょっとした失敗を取り上げて，相手を責める。
裸で物を落とす例なし, 裸, hadaka, hadaka, で物を落とす例なし, もともと何も持っていない者は何も失わない。
来年のことを言うと鬼が笑う, 来年, rainen', rainen', のことを言うと鬼が笑う, 明日のことさえわからないのに，ましてや来年のことは予知できない。
頼む木の下に雨漏る, 頼む, tanomu, tanomu, 木の下に雨漏る, 頼みにしていたのに，あてがはずれる。
落ち武者は薄の穂にも怖ず, 落ち武者, otimusya, otimusya, は薄の穂にも怖ず, 落ち武者は常にびくびくしているので，何でもないことまでも恐怖のたねになる。疑心暗鬼を生ず。
里腹三日, 里, sato, sato, 腹三日, 里腹のあとは満腹で，三日も空腹を感じないということ。
立つ鳥跡を濁さず, 立つ, tatu, tatu, 鳥跡を濁さず, ⇒ の句項目
両手に花, 両手, ryo-te, ryoute, に花, 二つのよいものを同時に手に入れるたとえ。また，一人の男性が二人の女性を伴っていること。
隣の疝気を頭痛に病む, 隣, tonari, tonari, の疝気を頭痛に病む, ⇒ 他人の疝気を頭痛に病む
類は友を呼ぶ, 類, rui, rui, は友を呼ぶ, 似かよった傾向をもつ者は自然と集まるものである。
恋は思案の外, 恋, koi, koi, は思案の外, 恋は理性では律しきれない。
練り牛も淀まで, 練り, neri, neri, 牛も淀まで, に同じ。
連歌と盗人は夜がよい, 連歌, ren'ga, ren'ga, と盗人は夜がよい, 連歌を作るのは静かな夜が適切だということを，盗人の夜仕事にたとえた語。
連木で腹を切る, 連木, ren'gi, ren'gi, で腹を切る, に同じ。
老いては子に従え, 老い, oi, oi, ては子に従え, 年老いてのちは，何事も子に任せ，子の言うことに従うのがよい。
老いて再び児になる, 老い, oi, oi, て再び児になる, 人は老いると子供にかえる。
蝋燭は身を減らして人を照らす, 蝋燭, ro-soku, rousoku, は身を減らして人を照らす, 自らを犠牲にして他人のために尽くすことのたとえ。
藁で束ねても男は男, 藁, wara, wara, で束ねても男は男, 髪を藁で結ぶような貧しい者でも，男には男としての価値がある。
腕無しの振りずんばい, 腕, ude, ude, 無しの振りずんばい, 腕力のない者が石を投げようとするように，自分の力に過ぎたことをするたとえ。
嶄然頭角を現す, 嶄然, zan'zen', zan'zen', 頭角を現す, ひときわ目立って才能を現す。
擂り粉木で腹を切る, 擂り粉木, surikogi, surikogi, で腹を切る, に同じ。
痒い所に手が届く, 痒い, kayui, kayui, 所に手が届く, 細かな点まで気が付いて配慮が行き届く。
艱難汝を玉にす, 艱難, kan'nan', kan'nan', 汝を玉にす, 苦労や困難を堪えてこそ立派な人間になれる。
藜羹を食らう者は大牢の滋味を知らず, 藜, akaza, akaza, 羹を食らう者は大牢の滋味を知らず, 粗食に慣れているものは，すばらしいごちそうの味がわからない。いやしい人間には高尚なことは理解できないことのたとえ。
乕口を逃れて竜穴に入る, 乕口, *, *, を逃れて竜穴に入る, 一難を逃れてさらにほかの難儀に遭うことのたとえ。一難去ってまた一難。
訛りは国の手形, 訛り, namari, namari, は国の手形, 言葉のなまりを聞くと，その人の生まれ故郷がわかるということ。
雉も鳴かずば撃たれまい, 雉, *, *, も鳴かずば撃たれまい, 無用の発言をしたばかりに，自ら災害を招くことのたとえ。
鼈と月, 鼈, suppon', suppon', と月, に同じ。 → 月
鼈人を食わんとして却って人に食わる, 鼈, suppon', suppon', 人を食わんとして却って人に食わる, 愚かな者が自分の力をかえりみず他人を害しようとして，かえって身を滅ぼすことのたとえ。人捕る亀は人に捕られる。
_の魚交じり, _, *, *, の魚交じり, 能力のない者がすぐれた人々の中に立ち交じっていること。雑魚のととまじり。
_の歯軋り, _, *, *, の歯軋り, くやしがっても，力がないために，どうすることもできないたとえ。
